number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
3,130.854753333333,119.1666225,125.900884424143,114.76125034774,1.05972409527662,1.07875268428524,88.0415,19.0983495,36.9544558044821,34.9413816644898,710.633333333333,696.4625,709.541296884419,695.401692790248,1.09707412964132,1.03948773520117,96.5,177.3675,39.4335164830912,38.892188724087,181.0,185.2,179.069269820711,183.578989285127,1.0883307968435,0.987161561959826,55,67.7,25.4689353265241,23.2230488954401,10843.3333333333,10073.0,10141.5455494586,9563.40348476527,1.02969877174369,1.03752271684329,9340.0,2671.75,4138.02959014177,3581.52635059412,76.3,80.5025,67.6610584732495,73.9853335008073,0.998271022029487,0.904352182550134,76.3,38.6775,32.1578398942881,27.2962954217234,23.2666666666667,23.92,18.9021749407705,20.4745016368593,0.939656596970939,0.870152309298611,29.0,12.32,12.0999540862306,10.428787081919,59.3333333333333,57.925,59.0809957190837,57.6895653817897,1.09429216669526,1.04231685889383,13.0,15.525,5.55777733351102,5.37302289219021,4.66666666666667,4.75,4.64158883361278,4.72870804501588,1.09337471755665,0.996914456524898,1,1.625,0.471404520791032,0.433012701892219,16.0
3,130.854753333333,125.769735,125.900884424143,120.644733489131,1.05972409527662,1.06951541739898,88.0415,24.606864,36.9544558044821,37.5745700719925,710.633333333333,703.7,709.541296884419,702.518993064647,1.09707412964132,1.07609391607266,96.5,121.57,39.4335164830912,41.0238345355477,181.0,185.35,179.069269820711,183.717418738263,1.0883307968435,1.03637240379499,55,52.85,25.4689353265241,23.3115314812219,10843.3333333333,10679.0,10141.5455494586,10051.8265377652,1.02969877174369,1.02532727263473,9340.0,3167.5,4138.02959014177,3941.43869671976,76.3,76.37,67.6610584732495,68.6829720849169,0.998271022029487,0.971825234265738,76.3,29.67,32.1578398942881,29.950794647221,23.2666666666667,24.61,18.9021749407705,20.9327322073269,0.939656596970939,0.898945232360734,29.0,10.31,12.0999540862306,10.890633590384,59.3333333333333,58.15,59.0809957190837,57.9239739159988,1.09429216669526,1.08306048145035,13.0,7.55,5.55777733351102,5.26569083786733,4.66666666666667,4.75,4.64158883361278,4.72870804501588,1.09337471755665,1.04597816569939,1,1.25,0.471404520791032,0.433012701892219,14.1
1,92.90638,92.90638,92.90638,92.90638,0.0,0.0,0.0,0.0,0.0,0.0,663.6,663.6,663.6,663.6,0.0,0.0,0.0,0.0,0.0,0.0,198.0,198.0,198.0,198.0,0.0,0.0,0,0.0,0.0,0.0,8570.0,8570.0,8570.0,8570.0,0.0,0.0,0.0,0.0,0.0,0.0,87.6,87.6,87.6,87.6,0.0,0.0,0.0,0.0,0.0,0.0,26.8,26.8,26.8,26.8,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0,0.0,0.0,0.0,9.1
2,136.92713,145.73128,129.658059909419,138.595878294882,0.640539972214015,0.567769745140046,88.0415,71.406176,44.02075,43.131350237849,711.85,721.5,710.21289765816,719.921245998313,0.690848277326687,0.657828671013473,96.5,190.62,48.25,47.2751520357153,199.0,199.2,198.997487421324,199.197587116196,0.693134554563017,0.672022537919476,2,40.8,1.0,0.979795897113271,12610.0,13418.0,11945.3128883257,12765.5894018203,0.640909155597619,0.568273401616518,8080.0,6562.0,4040.0,3958.37542433762,60.05,54.54,53.3572862878164,48.3205266498847,0.583862461615834,0.65198716433276,55.1,15.54,27.55,26.9933769654706,31.4,32.32,31.0612298533075,31.9915600022014,0.682377806437999,0.635364229141885,9.2,10.88,4.6,4.50706112672105,55.5,55.8,55.4797260267208,55.7805018620071,0.692781905987648,0.667431707658747,3.0,12.6,1.5,1.46969384566991,5.0,5.0,5.0,5.0,0.693147180559945,0.673011667009257,0,1.0,0.0,0.0,5.4
2,136.92713,172.14373,129.658059909419,169.278851248412,0.640539972214015,0.210043443870382,88.0415,153.562454,44.02075,26.41245,711.85,750.45,710.21289765816,749.849829423193,0.690848277326687,0.298883158515193,96.5,617.73,48.25,28.95,199.0,199.8,198.997487421324,199.79909425835,0.693134554563017,0.323098970685386,2,160.2,1.0,0.6,12610.0,15842.0,11945.3128883257,15580.1235125315,0.640909155597619,0.210405469967194,8080.0,14128.0,4040.0,2424.0,60.05,38.01,53.3572862878164,35.8876842737841,0.583862461615834,0.539838400143365,55.1,20.49,27.55,16.53,31.4,35.08,31.0612298533075,34.9531024633411,0.682377806437999,0.269879687800864,9.2,29.72,4.6,2.76,55.5,56.7,55.4797260267208,56.6926484696439,0.692781905987648,0.314492201281411,3.0,45.9,1.5,0.9,5.0,5.0,5.0,5.0,0.693147180559945,0.325082973391448,0,4.0,0.0,0.0,4.55
2,136.92713,176.545805,129.658059909419,175.016140004959,0.640539972214015,0.121679655277968,88.0415,167.255167,44.02075,19.1882000668868,711.85,755.275,710.21289765816,754.957518900613,0.690848277326687,0.180241949374472,96.5,688.915,48.25,21.0316874025837,199.0,199.9,198.997487421324,199.899521889548,0.693134554563017,0.197113550629997,2,180.1,1.0,0.435889894354067,12610.0,16246.0,11945.3128883257,16106.1806920091,0.640909155597619,0.121908748600466,8080.0,15389.0,4040.0,1760.99517319043,60.05,35.255,53.3572862878164,34.1518628905948,0.583862461615834,0.375284126556485,55.1,26.495,27.55,12.0087665894546,31.4,35.54,31.0612298533075,35.4726893353221,0.682377806437999,0.16057738463267,9.2,32.86,4.6,2.00509351402871,55.5,56.85,55.4797260267208,56.8461165144084,0.692781905987648,0.191067512205643,3.0,51.45,1.5,0.653834841531101,5.0,5.0,5.0,5.0,0.693147180559945,0.198515243345873,0,4.5,0.0,0.0,4.45
2,117.01,120.54,116.529790182597,120.108811008585,0.689045985678145,0.605945536442635,21.18,49.5933333333333,10.59,9.98434775035405,836.25,847.166666666667,835.608460943281,846.593919020431,0.692380116877839,0.62393475368231,65.5,311.5,32.75,30.8769961118126,146.0,138.333333333333,144.176974583322,136.741070596847,0.680686820991546,0.675834084902118,46,25.6666666666667,23.0,21.6846079563875,9131.5,8167.66666666667,8661.61185923267,7764.74758195074,0.64213987129934,0.6929732447253,5783.0,152.333333333333,2891.5,2726.13234373454,123.45,146.2,102.868070848053,126.588552681175,0.531392256877194,0.378430565856815,136.5,109.4,68.25,64.3467170879758,17.1,17.2333333333333,17.0953209972788,17.2291633870046,0.692873567149701,0.62912300846818,0.800000000000001,6.1,0.4,0.377123616632826,37.0,25.6666666666667,14.5945195193264,8.61324801478067,0.169658226502309,0.273664797369246,68.0,21.6666666666667,34.0,32.0555074137902,5.0,5.33333333333333,4.89897948556636,5.24148278841779,0.673011667009257,0.562335144618808,2,2.66666666666667,1.0,0.942809041582063,1.53
2,85.93319,83.31824375,85.6497972256794,83.0771595409585,0.689851168795996,0.646489368670718,13.94638,25.25175625,6.97319,6.46432014102883,802.0,853.9,789.967999351873,843.331203184139,0.678182425152572,0.554350029923152,276.8,439.15,138.4,128.300233826755,150.5,132.6875,142.807562824943,126.337844788033,0.642479175495818,0.690876944773402,95,8.9375,47.5,44.0336785171305,6694.5,5991.1875,6426.4165753552,5768.8519523745,0.653373489884749,0.687520891974712,3751.0,634.9375,1875.5,1738.63503281849,142.05,162.46875,131.199847560887,152.65790200984,0.617767741968097,0.453490108470569,108.9,107.71875,54.45,50.4765009527949,16.1,12.0875,12.0299625934581,8.90866920330096,0.452223442155028,0.616789485605973,21.4,4.6625,10.7,9.91916547649045,27.26,17.2325,5.29905651979671,2.21883674143628,0.0538666392674487,0.10092716624173,53.48,16.5175,26.74,24.7886434431173,5.5,5.6875,5.47722557505166,5.66770334975303,0.689009238476659,0.587902269204223,1,2.5625,0.5,0.463512405443479,6.35
2,85.93319,83.31824375,85.6497972256794,83.0771595409585,0.689851168795996,0.646489368670718,13.94638,25.25175625,6.97319,6.46432014102883,802.0,853.9,789.967999351873,843.331203184139,0.678182425152572,0.554350029923152,276.8,439.15,138.4,128.300233826755,150.5,132.6875,142.807562824943,126.337844788033,0.642479175495818,0.690876944773402,95,8.9375,47.5,44.0336785171305,6694.5,5991.1875,6426.4165753552,5768.8519523745,0.653373489884749,0.687520891974712,3751.0,634.9375,1875.5,1738.63503281849,142.05,162.46875,131.199847560887,152.65790200984,0.617767741968097,0.453490108470569,108.9,107.71875,54.45,50.4765009527949,16.1,12.0875,12.0299625934581,8.90866920330096,0.452223442155028,0.616789485605973,21.4,4.6625,10.7,9.91916547649045,27.26,17.2325,5.29905651979671,2.21883674143628,0.0538666392674487,0.10092716624173,53.48,16.5175,26.74,24.7886434431173,5.5,5.6875,5.47722557505166,5.66770334975303,0.689009238476659,0.587902269204223,1,2.5625,0.5,0.463512405443479,7.0
2,85.93319,83.6087933333333,85.6497972256794,83.3591490569239,0.689851168795996,0.659168835173801,13.94638,21.6712066666667,6.97319,6.57438658066963,802.0,848.133333333333,789.967999351873,837.228247585719,0.678182425152572,0.573900415327725,276.8,405.733333333333,138.4,130.484771354958,150.5,134.666666666667,142.807562824943,128.069745518327,0.642479175495818,0.692951108534983,95,2.66666666666666,47.5,44.783429475148,6694.5,6069.33333333333,6426.4165753552,5838.45886659909,0.653373489884749,0.691425956842675,3751.0,356.0,1875.5,1768.23835748716,142.05,160.2,131.199847560887,150.110039256008,0.617767741968097,0.474821438815541,108.9,101.8,54.45,51.3359523141433,16.1,12.5333333333333,12.0299625934581,9.21101390444169,0.452223442155028,0.599656475022008,21.4,5.33333333333333,10.7,10.0880567449281,27.26,18.3466666666667,5.29905651979671,2.44418166749791,0.0538666392674487,0.0937083030700332,53.48,17.6533333333333,26.74,25.2107137719044,5.5,5.66666666666667,5.47722557505166,5.64621617328617,0.689009238476659,0.605797499372304,1,2.33333333333333,0.5,0.471404520791032,7.17
