ID,imputed_columns,imputation_type,timestamp
A-1000379,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000381,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000384,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000393,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000398,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000411,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000418,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000419,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000422,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000424,Humidity(%),Numeric,2026-04-26T16:00:52.201662Z
A-1000425,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000428,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1000563,Humidity(%),Numeric,2026-04-26T16:00:52.201662Z
A-1001981,Humidity(%),Numeric,2026-04-26T16:00:52.201662Z
A-1001986,Humidity(%),Numeric,2026-04-26T16:00:52.201662Z
A-1001992,Humidity(%),Numeric,2026-04-26T16:00:52.201662Z
A-1002012,"Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1002031,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1002083,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1002097,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1002098,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1002103,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1002109,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1002110,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1002229,Humidity(%),Numeric,2026-04-26T16:00:52.201662Z
A-1002233,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1003719,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003720,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003723,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003726,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003728,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003732,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003734,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003741,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003755,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003757,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1003758,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005337,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005439,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005441,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005449,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005453,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005454,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005457,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1005460,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005463,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005483,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1005613,Humidity(%),Numeric,2026-04-26T16:00:52.201662Z
A-1006643,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1007033,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1007954,Humidity(%),Numeric,2026-04-26T16:00:52.201662Z
A-1008194,Wind_Speed(mph),Numeric,2026-04-26T16:00:52.201662Z
A-1009706,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1009719,Wind_Speed(mph),Numeric,2026-04-26T16:00:52.201662Z
A-1009929,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1009933,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1011335,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1011336,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1013206,"Temperature(F), Humidity(%)",Numeric,2026-04-26T16:00:52.201662Z
A-1014893,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1016396,Pressure(in),Numeric,2026-04-26T16:00:52.201662Z
A-1016404,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1019107,Visibility(mi),Numeric,2026-04-26T16:00:52.201662Z
A-1020699,"Temperature(F), Humidity(%), Pressure(in)",Numeric,2026-04-26T16:00:52.201662Z
A-1020700,"Temperature(F), Humidity(%), Pressure(in)",Numeric,2026-04-26T16:00:52.201662Z
A-1020701,"Temperature(F), Humidity(%), Pressure(in)",Numeric,2026-04-26T16:00:52.201662Z
A-1020734,Wind_Speed(mph),Numeric,2026-04-26T16:00:52.201662Z
A-1020773,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1022394,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1022462,"Temperature(F), Humidity(%)",Numeric,2026-04-26T16:00:52.201662Z
A-1022600,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1022601,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1022602,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1022605,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
A-1022606,"Temperature(F), Humidity(%), Pressure(in), Visibility(mi), Wind_Speed(mph)",Numeric,2026-04-26T16:00:52.201662Z
