Feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110
Severity,-0.0106498738698532,-0.081680578224431,0.279351420406573,-0.146361833129091,0.243781059484573,-0.129362853854375,0.0908962985232134,-0.0815268652909085,0.120961001304412,-0.0278768204300285,0.0316856387896885,-0.0387782266805379,0.0331538124317328,-0.0234603203344868,0.0122854653094319,-0.0294527259363343,0.0844336624347852,-0.012776376030763,0.0107487378314833,-0.00163668367684321,-0.032704071065001,0.0307897612621602,0.0374195722825579,-0.0227859258761396,-0.0114793978864691,0.0247617618284133,0.00329916027404047,0.00649345083951264,-0.0265460375558195,-0.0393818982181345,0.0121395750981732,0.00155039663945822,-0.0393029416053617,0.0447166060156801,0.0407857995012559,0.0114567842114677,-0.0233364351750504,-0.0127809606806683,-0.00870806001405188,-0.00967681453924081,-0.00934196168126847,-0.00754202690814216,-0.0241307810080212,-0.000326902484353506,-0.0193649657452025,-0.0115556926858949,-0.00528004112707844,-0.021254911684166,-0.0112690298468043,-0.00156705376199802,-0.000509942914408483,-0.0277017640163025,-0.00637264579189864,-0.00166114112543059,-0.00945873674973715,-0.00142205963879028,-0.00735720570727854,-0.000248099166925104,-0.00112387744244846,-0.00218793510504952,-0.00460727209143578,0.00212937876462474,0.000694730064349732,8.51294176395072e-06,0.00243168550308909,0.00197211534394827,0.00241982832676254,0.00317003927601874,0.015294915402042,0.0104254416559268,0.00425317594492695,0.0184985856272388,0.00717978406336778,0.00649667414831419,0.00250745251115428,0.000994770375953689,0.0167930161672625,0.00581167856120093,0.0543454736435069,-0.0437270348894061,-0.00663419922762293,-0.00747809281806501,-0.00899696267146848,0.0120063397894373,-0.0743475983984978,-0.00309303716857183,0.0326824686787151,-0.0963645511409821,0.0705994133732662,-0.0594427128880753,0.00087123596934042,-0.0356639890347801,0.0398021433548944,-0.079341723184069,0.15509943040273,-0.164294738087076,0.813805094762428,0.0360976210502843,-0.0436292279320823,0.0233628337423092,-0.00341925068468184,-0.00422778242338611,0.0187358512104297,-0.00993410287667618,0.00180842362308629,-0.0023084915139387,0.000720306910325902,-0.0315039291018567,0.00174550313023258,-0.00613067430122691
Distance(mi),-0.0129414230413299,-0.0350211350955352,0.0987652313629999,-0.263713414042163,-0.0894951804206786,-0.00695316756748104,0.118633944439929,0.0383035478489683,-0.0432345790215995,0.0150415440328078,0.00666929354662761,0.00820862821053985,0.00266940755364921,-0.0255525627719173,0.0452250152896073,-0.0249867894708137,-0.0246986034983091,-0.0401595925543456,-0.0169369690552246,-0.0789149585446099,-0.203227295112136,0.0482089132746523,0.0119442756619365,-0.0492190491031796,-0.0444775495397689,0.132027904777715,0.0347124351065024,0.0640625352367097,0.0394928304886229,-0.0454536651037521,0.0404142037182395,0.0162599337712567,-0.0378195652228955,0.140303977092869,0.0864183397341971,0.0154279312628329,-0.0231364172677706,0.0620582844139761,-0.0300242586236739,-0.0031171850466006,-0.0348508122373147,0.0805399240789161,-0.036004587261444,0.0499899709514737,0.024030452948978,-0.00153182575776821,-0.00438723625466661,-0.0118466271760252,-0.0209750627967011,-0.0122735353644641,0.0162291851808999,-0.0146519539681193,0.0112133330853829,0.00741866004956813,-0.00179037588731988,0.00380327379215597,0.00360840233474572,-0.00347203849404213,-0.00300877235249102,0.000522665529215005,0.00606275644384833,0.00211088415876472,-0.000530375911106284,-0.000822217317157371,0.00233627259666639,-0.00647230740158288,0.00347472601094922,0.00778748170022543,0.00302494069350009,0.0168577441557684,-0.00578773523392971,-0.00783770625072151,0.0210101010868131,-0.0126538497731018,-0.00117429199329778,0.0181195765855181,0.0111671948143494,-0.0397564365627904,0.0911184417346347,-0.0497222556934459,-0.0062525437653123,-0.00514484448376687,-0.0109519012537563,0.14713817045027,-0.11534315361212,-0.00936313780308236,0.184159922414533,-0.137173792304618,-0.249143215522636,0.0142606590453961,0.267939892596323,-0.118276786571389,0.0292085015750057,0.18802619493584,0.62736689667319,-0.116437787342591,-0.25138098845639,0.0213988690451588,-0.00397727951091331,0.00588618786371078,0.00754920269056055,0.00898759143231287,-0.00626883966548824,-0.00157523695979478,0.00254156269371854,0.00691519836662118,0.000451127822239292,0.00875244973701656,0.000221024891827804,0.00119710663777254
Temperature(F),0.261607193079364,0.120557258115993,0.111424887295103,-0.0418922734323657,-0.206108979620206,-0.334044567770386,-0.201725379884702,-0.126153021791362,-0.0246074566929858,-0.00172880960018384,0.0453533379652143,0.0288058287224033,0.0430118648106694,0.0592308394831444,-0.046952743147071,0.0193011170572886,-0.0448052773430435,-0.00406207208368201,-0.0280387359498666,0.0074939803041394,0.00885071865908147,-0.0275272216870858,-0.00880712686492882,-0.0454841947918205,0.040068721995838,0.0382763989956601,0.0160818504871257,-0.00962338721906991,0.0242485546021218,-0.0234361647770748,0.0127194577630088,-0.00828021498715797,-9.69848875140219e-05,0.00180666013807338,-0.0175498519036603,0.0105922066928201,0.00442806493224076,-0.0145144784668186,0.00308471654856055,-0.00439876340405658,0.0124534243769356,0.00824853915280835,0.00689047488635058,0.000180302294750085,-0.000803677913198735,0.00399467277420026,0.00378738512385371,0.00244103281233446,-0.00331482099501125,0.00133677686638771,-0.00405324853855098,0.000752053586209878,-9.18814212266406e-05,-5.98186252300965e-05,-0.00179982632594457,0.000154464282218804,-0.0030520564326482,-0.0025346740360968,0.000397303469888865,0.000783056242237904,0.0013217543057441,-0.0025251439798087,-0.000444641989335507,-0.000134206668453515,-0.00135250053728425,-0.000525148374232727,-0.00192100022269632,0.00104315133906749,-0.000318239150924129,0.00154340160314263,-0.000370823005412552,0.00231038444657914,0.00175656834552542,-0.00426586679792407,-0.0128039717783416,0.009654048758728,-0.00965164512942412,-0.0074111763091864,-0.011577187954864,0.0253226403551734,-0.0170221387229726,0.00799017263351843,-0.00232131577981645,0.00203586703434539,-0.00273260265529632,-0.029681983090566,-0.00343560811774475,0.0064033775374773,0.0235349276822052,0.0551531255774311,-0.00166413657031187,0.0319113929031148,0.0776079120096374,0.0410663540425495,0.00557642910788059,0.0524687845630497,0.0157338088108565,0.142415928568746,-0.0303874773769249,-0.012689785023173,-0.00268139371113829,-0.561054443424086,-0.507297893826839,-0.0745357032895037,-0.222978077439864,-0.034169375015207,-0.0261392955689138,0.0233246028307222,0.00317233818270663,0.000220658228848009
Humidity(%),-0.255936748867143,-0.341940343178283,0.0202057889710633,0.0613610740691462,-0.0135491989468923,-0.114532318787663,-0.0729555631919408,0.222689247603456,-0.0103475302239104,-0.00357527741642527,0.190615234914447,-0.0592996214045094,0.0369629700479019,0.117732707107617,-0.0730784374533857,0.0319776281811588,-0.00437278384375139,-0.0133770254259617,-0.00565378574736973,-0.0275520732197275,-0.0117115411350381,-0.020497890216284,0.0084857926413849,-0.0051373626386081,0.0184369638407019,-0.00159506544778966,0.00801275897219814,-0.00750577304462019,0.0272310613533731,0.0223300230458735,0.00785416512645977,-0.0112420550601335,0.0136906696904394,-0.0148724577489233,0.0309630221843006,-0.0213802939210351,0.0223451509077107,-0.0153115045891439,-0.0330676234414865,0.00325531630991366,-0.0218746007514687,-0.00488163675926425,0.00623947421116003,0.00249542767478454,-0.00435074570532164,-0.00666794678233894,0.00198190774524,0.00467166011693608,0.00169154434312429,0.000535617125575057,-0.00507127740334049,0.00212570134187578,-0.000362872712487223,0.000465803528510082,-0.00186147254643048,0.0029379138656469,0.00083203092667767,-0.00233780681128115,-0.000540973592969592,0.00197874868979891,0.0016541333445842,-0.000538200312183029,-0.000550796354136118,8.02458082052673e-05,-0.000429104804472602,-0.0014729215689587,-0.000300140163331587,-0.00523413134945586,-0.00156233392538052,-0.000601114882662936,-0.00646951391199287,0.000973096291033149,0.0136294086216543,-0.0117765120036053,0.00978084257046318,0.00887542427210752,-0.0090823996528065,0.000441530857694978,0.0016461542777688,0.0200959424417563,-0.0116861446606465,-0.0127037425152117,0.00673630227202829,-0.0264601410426782,-0.00834805059716781,-0.0287806435838274,-0.011115424177901,-0.0215401151811616,0.0124821000973193,0.0972703191426963,0.0458115710975486,0.116530914165864,-0.0400332373283745,-0.0423865777388874,-0.0298360200604163,-0.157522467226472,-0.0280068469371253,0.0326092503131884,0.0473123303449452,-0.0635448893492303,0.0625752806598107,0.406085483649263,-0.435218723330835,-0.475481208728021,-0.146880270310238,0.0483702218450452,0.027368574958874,0.0105592900635142,-0.0115892254649442,-0.0196989058850782
Pressure(in),-0.0134372208699721,0.0690163003606937,-0.0177014635367243,0.0444842226306607,0.385219183741635,0.183567691680936,0.195877687408488,-0.159707415901221,-0.366690120401415,-0.0355652794703297,-0.044431750005185,-0.0355517634026034,0.0733796727604583,0.0272427229598727,-0.0462369720010174,-0.000222968834120704,-0.0852519876704769,0.00113106106086472,-0.027945045119335,0.0130492613175874,-0.00610829462000031,0.00251212158337085,0.00880407200072841,-0.00762145303980424,-0.0391784911742821,-0.01064767296991,0.0231726576960342,-0.0128611786190124,0.0367114163511508,0.0314364030546703,-0.0353893415908629,-0.0462351988435565,-0.000675587589508432,-0.0185278607207755,0.0292774323851501,0.0678436771805169,-0.0140966681114815,0.0140117123825778,-0.0283901092857507,0.0282904315437584,-0.0263452600655457,0.0243096103960387,-0.0184258496654901,0.0126980088576087,-0.00829835763357036,-0.000352848480425442,0.00987682579620683,0.00761472060179342,0.00648829682141316,-0.00920057307383766,-0.0101217935324963,0.00211292373983179,-0.00424542860061726,-0.00438378041029289,0.000180671492727117,0.00396712348569729,0.0106358073079743,-0.00256164161237138,-0.00341330570011792,0.00107726843637696,0.00257439642060183,-0.00158496255804528,0.000180395816011036,-0.000708975456871363,-0.000937999054199577,-0.005196970808834,0.0112166525578384,-0.00261275013343366,-0.00254984084519122,-0.0128455028039898,-0.0291192761332921,-0.0148255735602534,0.0230189836919255,-0.0448154109725538,-0.0105023551523962,0.00839001241139143,-0.00523532794144666,0.00267132087830212,-0.0195281964374569,-0.0145492294806795,0.0167196661395309,-0.00820807846074246,0.0184576556177539,0.076497209779831,0.0238221654920654,-0.0414203128738226,-0.0220727176799063,-0.000859439248638616,-0.0489198533140426,-0.00328404307895951,-0.00139874954229329,-0.0166863726055276,-0.0483405265646093,-0.0121104114185497,0.00607125536345955,-0.0710950332794924,-0.00709403407695931,-0.623890451166693,0.230548133136465,0.0203809479148173,-0.00760669156811362,-0.170597302667823,-0.248182450463725,-0.0683153098892117,-0.0970797553853771,-0.00395896621175023,-0.00305186808619959,-0.0278028903214501,0.00468172667804315,-0.00283267112075727
Visibility(mi),0.0767739578703098,0.53883078594294,-0.103416413408442,-0.122121276923703,0.205462373245916,-0.122437879110777,-0.0212436710593586,0.249269822481009,0.0732652525280668,0.0349649143674136,0.0816390934955838,-0.00839530956236223,-0.013136680260761,0.0249526232893005,-0.0152062908598007,0.00899524122390959,0.022367594460703,0.00836256141171175,0.00332309057815894,-0.0171779235058606,-0.00753458501330519,0.0102967079247562,-0.00715169177716087,0.0134214881137559,0.000863519519116885,-0.00529193600442586,-0.003355360514492,-0.00173413185672368,-0.00146185487057721,-0.00322480730918902,-0.00141372598775972,0.00867117893323943,-0.00107573539165355,0.00243710194068034,0.00508346954938645,-0.0092991141028877,0.00365683971455576,0.00350610043716817,-0.000107918381394817,-0.00212959015494728,-0.00719486290425,-0.00247117791011771,-0.00111757966273267,-0.000928520307109091,-0.00160967705867913,0.0023837154058423,-0.000954640024540335,-0.000963546289080207,-0.000278559103090426,0.000486383325450149,0.000326376488786745,-0.00100846479879095,0.000350382799745317,-0.00040609216767935,-0.000298990229463829,-0.000674329009590458,-0.000710152991049802,-0.000221628841230849,0.00039143288863464,0.000453189832363817,-8.86590901864499e-05,0.000150033841061031,-0.000144943898035906,-3.547953971525e-05,5.62820309822042e-05,0.000406232239296192,-0.000633092133574141,0.00160305600238022,0.00121075063849514,-0.000611366984097118,0.00393745426782034,0.00296326749183343,0.000866497022186084,0.00277218874373045,-0.00015124853837274,0.000410295945936093,-0.00175060645554687,-0.00128652322329833,0.00368286149037475,-0.00112114256357179,-0.00500457930818106,0.00249537234520918,-0.00435978594888563,-0.00612139057054619,-0.0132876191936145,0.00903612509031536,0.00672306793938484,-0.0146916546350637,0.00282486253592526,0.0119978029440302,0.0198304265966491,0.0204141135570167,-0.0487398880878959,-0.0230883983838696,-0.00325902400047429,-0.0332738574004403,-0.00663933993818636,0.0165135955034845,-0.00553970477859116,-0.0152817490319588,0.0144501089793306,0.0901312421442974,-0.0447863095660877,-0.0380764746963329,-0.0147059786795721,0.721730935886642,0.0074025262808679,-0.0543921870469894,0.00668806044976628,0.0107273720102716
Wind_Speed(mph),0.214989667938591,0.148209118717546,0.379685730806936,0.211232781986932,-0.12138927983889,0.28098244484613,0.0856560289062807,-0.0253741708832305,0.00649071030870199,-0.0219444168707061,0.117499957040174,-0.0285316336625338,-0.127163811239737,0.0638627113655173,0.00199201480877595,0.00886271475997508,-0.0267460967208061,0.00153228231203419,0.0295560621767219,-0.00472465715182665,0.0114808947643048,-0.0214157766754959,-0.0231435586794388,0.0115156531469929,0.00407383225693981,-0.00376262497328065,-0.00635787157721506,0.0112063505614414,-0.00581310447890949,-0.00907580151689345,0.0125615679636314,0.0241117005482643,0.0031951658050273,0.0145149803649298,-0.00510795815083732,-0.0012508701976652,0.00992261931427161,0.012543840995312,-0.00578308498108721,-0.00585068148137836,-0.0011546506186313,0.0025100651499455,-0.00103620856013725,-0.00123463786385068,-0.00274458648575569,0.004731807441506,-0.00107831074257591,-0.000377619318989383,0.00394921512180626,-0.00181474519250466,0.00195320002703984,0.00120308337977432,-0.0023178005558803,-0.00122676382484755,0.00106371392382853,-0.000114391080314064,-0.000167139920042353,-0.000689243494761673,-0.000592895701825041,-0.000774672310843365,8.45862163389643e-05,0.00034818049583977,-3.24806016747543e-05,-0.000187795113332502,0.000391933916491844,-0.000416671543648124,0.000387799329352864,0.00166985647442496,-0.00114852021016559,-0.00153544158853334,-0.000456382732246838,-0.00363447556938059,-0.0029661021252144,0.00125870788959416,0.00581265876006747,-0.00329758905770602,-0.00295158361181814,-0.000157499162871427,-0.0156319221529597,-0.00212784717162956,-0.00589318437016175,0.00940765346077031,-0.000322244106597215,0.0214738723688465,0.00414175226172228,0.0317141624064055,0.00462526043807844,-0.00682167417449411,0.00512395160096628,0.0219995326992301,-0.00379587653393347,-0.00114740789963595,0.0452994279153008,-0.00236122517563107,-0.0122909403102713,-0.0917551470913441,-0.0351408840456351,-0.00674236715068267,-0.079205908761706,0.0200040268631205,-0.0203880620036773,-0.0407696023641137,0.382255276663168,-0.421704481904163,-0.501774962222256,0.0298687036983193,-0.00761104629186936,0.0365737814281615,-0.00105677494706736,-0.0101893766372378
Amenity,0.0141941999915206,0.0340900479979164,-0.0436889853148021,0.0927793714545152,-0.036134890278339,0.0101461611478231,-0.0560382734585248,-0.0144464689865103,-0.0900769530225121,0.0042849474538517,-0.0660388316573158,-0.129148750481609,0.0901186098876417,0.0209661861638458,0.0129637179311122,-0.0917465516523411,0.153239856389504,0.015110577423446,-0.0693312899072905,0.0735562826267892,0.0795409004826296,-0.0572073458294889,0.160869395903697,-0.0589308834537368,0.080536884716197,-0.0809350398322104,-0.031948868542445,0.00245144448521923,0.0111547010629372,0.155995143628727,0.0933564118277608,0.122748714502327,-0.260853830515006,-0.239521557048467,-0.0707024466123438,-0.129408731982936,0.044011567860689,0.115103584331344,0.0703836765351864,-0.0330533729016464,-0.0650315887875739,0.040982337101295,-0.0886073640444062,0.0532451455374514,0.0135822133529849,-0.0165735070862444,-0.0470354009840625,-0.0490702768340459,0.00686991884413857,-0.0278303494014609,-0.0407812085300508,-0.00451377764831146,0.0171246770512162,0.00555510233169263,-0.0137886551666535,0.00172275419105556,0.00764075652302098,-0.00263748441975964,-0.0330514175650614,-0.0135448337188892,-0.0176707827391047,0.0120595662454754,0.00551761993911137,-0.00454250843354138,0.00842841966183347,-0.013662322744076,0.0210592141254105,-0.0285949135062593,0.0455287253152829,-0.0688409713667373,-0.0790993660016521,0.0338573380053754,0.0280384110636856,0.147200361539476,0.124406347180653,-0.157674930990587,0.0188353222491581,-0.107210368205977,0.01104563077018,0.0366918698756094,0.0218452051402648,0.215308692177518,-0.064018755406668,-0.0218870654091985,-0.251074138125827,-0.0693701752712628,0.1917497802415,-0.401342557743753,-0.138583267042964,0.0487845285962563,0.0641471842466096,-0.081468588171543,0.189122953150125,-0.348431460623475,-0.0619639460540557,0.0277604106651025,-0.036877916815478,-0.00954978022784399,-0.00363888260712239,-0.0447811143496393,0.0184631725411666,0.00160580400876893,0.00181175011740981,0.0049546988890703,0.00133869413005885,-0.000481435621638521,-0.000826185875192275,0.00230480679250494,-0.000269542314363853,-0.00015886216043734
Bump,-0.000928730282447295,0.0170205072776102,-0.0519465674240235,0.205323487068894,-0.109147353894927,-0.318358141261844,0.560730259778491,0.0323458793127706,0.0416636273918379,3.61112793755836e-05,-0.00198568508719684,0.0643724915626934,-0.0445981991206522,-0.0417320507872827,0.00818349308923256,0.0153179372899011,-0.0681600917531868,-0.0205316081194683,-0.00250099687546448,-0.00574337075626311,0.0447357163287368,-0.0393963929567793,-0.0168213972496117,-0.000841649186059081,0.0048372197634996,-0.0346121788369191,-0.0183959692786636,-0.00197908339791101,0.0404405737742923,0.0475360383684696,0.00826020628283336,0.00891142822458028,-0.0233674219936665,-0.0279487255808303,-0.00688460667687633,-0.0137027930772187,0.00133764331023526,0.00201039982915033,0.0016388835424979,-0.00797185404474004,0.00284753109304945,-0.00369651728767505,-0.00619585547852426,0.00911949679708029,0.00269207025365339,-0.000380442318530759,-0.00460059194121826,-0.00301395797698507,0.00175237694729965,-0.00156293648185022,-0.0137749700644833,-0.000978723612476522,-0.000248005540091186,-0.00323972379667423,-0.000223505037513189,0.00240323581823275,0.00361013934572764,-0.000123804982413043,-0.00149745294168935,-0.0010449435114904,-0.000886454526097104,-0.000465465219598605,0.000547624751935415,-0.000484926271023548,-0.00139997969723303,0.000174133407452264,0.00204053423204567,0.00323835394693616,-0.00285326381122884,-0.0143828063270514,-0.00929929540421829,0.00412768011917495,0.0199441415537982,-0.00211138919593712,0.0193934599688505,-0.0139665552034792,0.00170965255485577,-0.00766605838729056,0.000322943367935702,0.00747295779038426,0.00216781245797193,0.00986132391566679,0.00877616260107018,-0.00345654385219543,-0.0114714522276721,-0.0027234234016992,0.0137685542995373,-0.00994694973631252,-0.0262644918604562,0.00570358181060565,-0.0754302889687935,0.029299798745998,-0.0136226499591125,0.0205509877575243,0.000329737915522099,0.0106845771501653,-0.00684357184824921,0.00313764242726013,0.00126737462257201,0.309377324751944,0.626641013830413,-0.0275719968146463,0.0185523219730496,0.00269425228524095,0.00108179334246821,-0.00303527430591181,-0.000581298314534282,0.000121255290257971,0.000606474667157233,-0.000100377607852475
Crossing,0.0337629865538578,0.0665721115278193,-0.243344337784136,0.495147547955032,0.0159085048759294,-0.0105563729300014,-0.207326963556747,-0.0442486322237829,0.0492030280749196,-0.00489552658637029,0.00189716299373575,0.00467007662678631,0.032569592171144,-0.0191693531692297,0.0345007303678765,-0.0138431100964277,-0.00111459833501945,-0.028016421191459,0.0130874922770663,-0.0378402893950607,-0.124414768129198,0.0540422195829769,0.0128158366932879,-0.0114364134127125,-0.0496369497606993,0.0740725353030515,0.0151807449676003,0.0292546071621507,-0.0201288711345207,-0.0383824859007572,0.0114288466538305,-0.0112245334951912,0.0160224333524116,0.061648088835834,0.0400899913721798,-0.00665208773189965,-0.0120466353564753,0.0115531567440015,-0.0162467895776366,0.0218562148549828,-0.00470505403990625,0.0340504996199897,-0.0148335853085623,0.016784241492665,0.0163467622806516,-0.00554986797117063,0.00798401686509255,-0.00733520219947417,-0.00533151091506046,-0.00563451985998132,0.0226961051930643,-0.00182518106026218,-0.00376376404840235,0.00298116794982787,-0.00293208069774988,-0.00317325056210256,0.00423731020020361,-0.00349754459653589,-0.000591911340635623,-0.00290310429778103,0.00318186287530688,-0.00169466047282539,-0.000419336855560152,-0.000234141451900799,0.000402319588708252,-0.00646582956818489,-0.00153783134590476,0.00410793220871485,-0.00456502308538333,0.0210112312874713,0.00342112882615886,-0.009733797289278,-0.0124481611151855,-0.00854943791116751,-0.0153124580474717,0.0125426082099152,0.00188882200735421,-0.000479467112773461,0.0234794504627021,-0.0241690031202767,-0.0120594039540125,-0.0222014330401924,-0.0143145047143968,0.0334539969249304,-0.0277402421051909,0.034265625549028,0.0137357698022393,0.0153024975014832,-0.166521114416837,0.0312376366474955,0.194270270636675,-0.0704555328252725,0.0395670724717772,0.0471937307798889,0.0517219205266053,0.0324264799362912,0.152601305101892,0.0159243342081086,0.0087148488260371,0.63760362785382,-0.264015972893479,0.0851898963117692,-0.0650461891890632,-0.0216756926186169,-0.0151529503829257,-0.000526676797802966,-0.0011319393786758,-0.000902073862512037,0.000166827200805395,-0.000223471004821341
