"Cluster","Total_Points","Centroid_Lat","Centroid_Lng","Avg_Severity","Avg_Rank","Pct_Traffic_Signal","Pct_Junction","Pct_Crossing","Pct_Station","Peak_Hour","Weekend_Prop"
228,1151,28.5103095418769,-81.3987890267525,2,1,0,0,0,0,16,0
320,1146,28.5230428059946,-81.3839607500842,2,1,0,0,0,0,17,0
137,1133,28.5102993655155,-81.3938615217532,2,1,0,0,0,0,17,0
290,1101,28.5079798134784,-81.3983581507211,2,1,0,0,0,0,17,0
150,1092,28.500446647482,-81.4202591318678,2,1,0,0,0,0,16,100
28,1061,28.5197837832497,-81.4036869155202,2,1,0,0,0,0,17,100
241,1018,28.5184351480203,-81.3951910380116,2,1,0,0,0,0,16,0
84,1016,28.5064046884965,-81.4111739060824,2,1,0,0,0,0,16,0
407,974,28.514008911045,-81.4110434141158,2,1,0,0,0,0,15,0
167,961,28.5119766460912,-81.3898464047142,2,1,0,0,0,0,17,0
275,920,28.5129055986697,-81.3952620104443,2,1,0,0,0,0,15,100
96,906,28.5056816627331,-81.3965119000095,2,1,0,0,0,0,18,100
334,885,28.5084044872365,-81.3982063035974,2,1,0,0,0,0,16,0
196,850,28.5031362219398,-81.3977005926987,2,1,0,0,0,0,15,0
146,823,28.5111085053581,-81.4081446114241,2,1,0,0,0,0,14,100
240,794,28.5003730778224,-81.4204970681691,2,1,0,0,0,0,14,0
85,747,28.5090911259015,-81.3996546303761,2,1,0,0,0,0,18,0
399,746,28.5130165541827,-81.3856961521022,2,1,0,0,0,0,15,0
226,728,28.5071983012766,-81.4059871501167,2,1,0,0,0,0,15,0
63,727,28.5224057421009,-81.3804455120698,2,1,0,0,0,0,8,0
8,700,28.5269895312413,-81.3896172297742,2,1,0,0,0,0,8,0
45,686,28.5097044383656,-81.3875908806266,2,1,0,0,0,0,8,0
60,685,28.5290249487411,-81.3942313379639,2,1,0,0,0,0,7,0
74,661,28.5108236717322,-81.399415990206,2,1,0,0,0,0,18,0
20,643,28.5098325567414,-81.4056060374775,2,1,0,0,0,0,8,100
116,641,28.5075531472563,-81.3984812118128,2,1,0,0,0,0,7,0
236,637,28.5050088808136,-81.4042222495209,2,1,0,0,0,0,13,0
230,636,28.5000886541108,-81.4065517125029,2,1,0,0,0,0,18,0
53,623,28.5112101720042,-81.4119075845226,2,1,0,0,0,0,14,0
41,615,28.5134370020936,-81.3902753075973,2,1,0,0,0,0,18,0
36,610,28.5155196578288,-81.3821943503001,2,1,0,0,0,0,8,0
203,605,28.503292271842,-81.3856128266352,2,1,0,0,0,0,14,0
76,592,28.5283751836616,-81.3896664592692,2,1,0,0,0,0,7,0
27,588,28.5069133732422,-81.4035600148269,2,1,0,0,0,0,12,100
164,587,28.5183507194791,-81.3937307060633,2,1,0,0,0,0,14,0
143,583,28.5221956258736,-81.4109730957066,2,1,0,0,0,0,13,100
127,581,28.5103379440762,-81.4145208926194,2,1,0,0,0,0,13,0
186,572,28.5114067720955,-81.3905294437957,2,1,0,0,0,0,13,0
342,563,28.5197596899673,-81.40009684021,2,1,0,0,0,0,12,0
34,548,28.517288564238,-81.398390654774,2,1,0,0,0,0,7,0
151,548,28.499679159768,-81.4262439294445,2,1,0,0,0,0,19,100
279,544,28.4802198820267,-81.4227505376085,2,1,0,0,0,0,16,100
222,534,28.5057800754751,-81.3835658282707,2,1,0,0,0,0,13,0
498,534,28.4748212111744,-81.4251935052563,2,1,0,0,0,0,18,100
492,533,28.4786196866257,-81.4282486245565,2,1,0,0,0,0,17,100
278,522,28.4866674669187,-81.417794129482,2,1,0,0,0,0,15,100
29,506,28.4965710968973,-81.4006361488438,2,1,0,0,0,0,14,100
155,504,28.4648465829072,-81.4460007859363,2,1,0,0,0,0,19,100
43,475,28.5007758628728,-81.417382149688,2,1,0,0,0,0,6,0
39,473,28.5129022811594,-81.3923644264247,2,1,0,0,0,0,12,0
108,473,28.5070522974861,-81.412955763336,2,1,0,0,0,0,6,0
141,473,28.5143359895033,-81.3916273450101,2,1,0,0,0,0,7,100
436,452,28.4677704679833,-81.449698516408,2,1,0,0,0,0,20,100
7,446,28.5173386743722,-81.3839402286547,2,1,100,0,100,0,8,0
319,443,28.5102272745895,-81.3883784662058,2,1,0,0,0,0,9,0
80,441,28.5349047082227,-81.379648881691,2,1,0,0,0,0,9,0
327,432,28.5009690074659,-81.4069527438669,2,1,0,0,0,0,13,100
